弹幕,时间
向量化为空间的基，行列式变成了空间的张量,2016-10-25 19:07:23
看完来投币感谢！！,2016-10-25 21:09:13
上面的蓝字同是学张宇数学的吧，哈哈,2016-10-25 22:10:08
认真学习的兄弟可以考虑关掉（不发）弹幕,2016-10-26 00:12:26
他在介绍他视频讲啥……,2016-10-26 00:12:27
这一刻厦大统计学子又一次想起了被数分高代支配的恐惧,2016-10-26 17:05:57
正好现代挂科了，下学期重修,2016-10-26 23:11:49
泰勒,2016-10-29 12:12:30
赞，确实这样,2016-11-05 11:11:35
我在b站学习,2016-11-07 13:01:20
同不知道在讲什么,2016-11-09 22:10:36
在我看来 这不是X这是狗 狗减sin狗,2016-11-12 01:01:54
sin看完相声泰勒了 哈哈,2016-11-12 23:11:23
高中党飘过……,2016-11-13 00:12:11
泪目,2016-11-13 17:05:28
讲得太快了，我太笨,2016-11-14 11:11:07
小学的你站住，小学就有线代了？                                 ,2016-11-14 18:06:06
hhh........,2016-11-14 20:08:41
³,2016-11-15 13:01:39
我现在只知道线性切割枪,2016-11-15 15:03:09
张宇的,2016-11-17 22:10:13
这是麦克劳林级数吧……,2016-11-18 00:12:51
学了抽代泛函拓扑后，感觉几何意义不是那么重要了,2016-11-19 01:01:52
我居然在B站上看线性代数！！！！！,2016-11-19 18:06:00
在量子力学的矩阵解法中有广泛的应用,2016-11-19 21:09:03
说的是我,2016-11-20 17:05:55
我要这硬币就是来投up主的,2016-11-22 19:07:43
沉迷学习无法自拔系列,2016-11-25 16:04:25
我竟然在B站看线代 。。,2016-12-06 00:12:19
考研党默默看着,2016-12-07 12:12:25
承包我的同事,2016-12-07 12:12:26
对啊，没错，我以为只有我一个人对线性代数的理解很肤浅,2016-12-10 22:10:18
朋友，你要相信,2016-12-11 18:06:16
哪怕是看这种科普类视频,2016-12-11 18:06:16
我就是这样，CS研究中遇到了理解不深的问题，重新来学,2016-12-11 20:08:37
我居然在B站学习,2016-12-13 15:03:40
幂级数,2016-12-15 17:05:28
前面加一。。。又看视频又看字幕真的好累。。。,2016-12-18 15:03:46
这位教授好像以前也出过一本书，就是讲述他对线性代数学习的这种思想,2016-12-20 19:07:06
这不是计算器所用的公式（收敛太慢），知乎有对应的答案，值得参考。,2016-12-21 15:03:28
字幕滑动赞,2016-12-31 12:12:03
明天就要考了//,2017-01-04 12:12:47
明天考线代的路过,2017-01-04 20:08:58
左下动画好可爱,2017-01-05 10:10:05
英语没学好，听不懂,2017-01-05 17:05:47
晚上考线代 复习完两遍来看视频 ,2017-01-06 11:11:33
机电路过....,2017-01-07 11:11:28
麦克劳林你好,2017-01-07 11:11:28
翻译满分!!!,2017-01-07 18:06:53
看到这个展开式我就胃疼,2017-01-10 14:02:05
整的很高大上，突然又想学数学了。,2017-01-10 20:08:41
刚刚告别线代,2017-01-19 14:02:29
泰勒展开。。,2017-01-22 14:02:54
我大二会计专业看不懂啊,2017-01-23 20:08:09
没错这就是我,2017-01-29 13:01:28
当时上线代翘课，后来自己看最优化时候恶补线代 直要吐,2017-01-29 13:01:39
我喜欢这个作者！还有up主！,2017-01-30 14:02:36
确实不懂线代的实际意义,2017-02-02 17:05:58
教线代不讲几何含义的老师想来也不会是什么好老师= =,2017-02-11 00:12:15
相见恨晚,2017-02-14 19:07:21
感谢UP主～,2017-02-14 20:08:03
真的线代概率高数都是挂科了和考研的人才有决心去看的,2017-02-15 18:06:46
sin狗,2017-02-15 18:06:46
三战的来看了,2017-02-15 18:06:50
大哉线代，感觉当年白学了,2017-02-17 22:10:28
毕业10年了...现在工作中一直在想这些问题,2017-02-18 21:09:02
感谢字幕君,2017-02-19 11:11:38
我：⊙_⊙,2017-02-20 13:01:46
我在B站学数学……,2017-02-20 21:09:57
真心棒啊，初学线代快哭了(⑉°з°)-♡,2017-02-26 12:12:46
数学系飘过,2017-03-05 00:12:17
本科说学过的，你们只是学计算方法罢了，没有几个老师会教为什么的,2017-03-07 19:07:33
还有jordan 标准型啊,2017-03-09 09:09:47
文科生有吗？？？,2017-03-10 17:05:33
研一回来复习,2017-03-11 03:03:13
相见恨晚,2017-03-11 12:12:09
亦可赛艇,2017-03-11 22:10:09
初次学习我根本无法理解线代，然后一向数学很好的我挂科了,2017-03-13 01:01:36
如果只为了学线代这门课，什么理解方式都不过分。,2017-03-18 00:12:15
但如果你以后打算做理论研究，建议还是先独立啃完一遍书,2017-03-18 00:12:17
第一遍就靠“直观”学习基础的话，以后再想学更晦涩的理论会更难,2017-03-18 00:12:19
看不懂 哭…,2017-03-22 20:08:45
二刷,2017-03-26 11:11:31
求bgm啊啊,2017-04-04 16:04:21
我就投2硬币，因为就允许投2个,2017-04-09 22:10:20
有人码,2017-04-16 20:08:19
我本来上不、,2017-04-18 17:05:03
那个张宇线代19讲的。。。多出来的10讲哪来的,2017-04-18 17:05:04
线代已经完全听不懂了，，找这个救命,2017-04-18 20:08:28
"我就是因为没有理解,所以没学好",2017-04-22 11:11:18
不同意黄字说的，是否啃书学习与是否靠“直观”学习基础并不矛盾,2017-04-24 08:08:26
好东西！,2017-04-27 22:10:03
高中内容也没错，首先这是基础部分,2017-04-30 00:12:31
其次中国高中爱超纲，还有一些竞赛生自招生,2017-04-30 00:12:31
现在只有我一个人，五一的夜里还在看线代.....感到一丝丝孤独,2017-04-30 01:01:19
97分路过,2017-05-01 20:08:08
大学都毕业好多年了，回来看这个，感觉当年上的是假大学,2017-05-03 21:09:35
获得成就：在B站学数学,2017-05-04 22:10:52
考研党来了,2017-05-04 23:11:44
泰勒展开式，我就记得张宇狗理论,2017-05-04 23:11:47
能不能赶紧讲数学啊。。。。。,2017-05-06 10:10:25
这几个问题真的是我一直想问的，太感动了!！,2017-05-06 12:12:54
哦哦哦出合集了,2017-05-06 21:09:51
对的，张宇说线代就是向量,2017-05-08 12:12:48
九门功课的够了,2017-05-09 21:09:08
考研党表示最恨的就是秩！,2017-05-09 23:11:33
上过一部分Mit的线代 所以前面简单的概念还是都理解的,2017-05-11 12:12:18
九门功课同时补的。。是哪九门,2017-05-14 09:09:16
学渣收藏加2,2017-05-15 19:07:33
这就是张宇教学的思想啊,2017-05-17 15:03:38
还是不懂,2017-05-19 19:07:01
张宇昨天还来我们学校讲课呢，,2017-05-21 01:01:19
张宇大胖子现在瘦了不少。,2017-05-21 01:01:19
九门功课同时补，妈妈再也不用担心我的学习,2017-05-23 09:09:33
我也挺喜欢的,2017-05-28 12:12:08
这不是泰勒展开式，而是泰勒幂级数,2017-05-28 23:11:53
哈哈九门功课同步学 笑抽我了23333,2017-05-29 14:02:03
黄字正解,2017-06-02 03:03:24
在下九门功课同时补,2017-06-04 08:08:41
那按照这个公式的话，那不是无穷个有理数相加是无理数了吗,2017-06-08 11:11:45
期望出一期概率论,2017-06-11 17:05:07
但是学完了再看这个很好,2017-06-14 18:06:02
简直说出了我的心声,2017-06-14 22:10:21
我在B站学数学系列,2017-06-16 17:05:59
感谢UP主搬运,2017-06-29 16:04:33
233333333333,2017-07-03 09:09:47
貌似本质是方程组？？,2017-07-08 10:10:11
居然来B站学习线性代数,2017-07-10 13:01:22
明天考线代,2017-07-11 22:10:11
线代复习的想哭,2017-07-12 16:04:31
准研一回来复习,2017-07-13 09:09:11
我还是相信李永乐,2017-07-13 09:09:15
不同意黄字，抽象也源于具体，,2017-07-13 16:04:44
不能因为想研究文言文就否认初等阅读的意义,2017-07-13 16:04:44
感谢up主，双手已经举起来,2017-07-13 23:11:19
泰勒.斯威夫特公式，哈哈^_^,2017-07-13 23:11:25
居然有42个人和我一块看,2017-07-13 23:11:30
wow好棒,2017-07-15 19:07:36
狗减sin狗，杨超老师也讲过,2017-07-27 22:34:06
终于可以发啦,2017-07-30 11:36:25
加油,2017-07-31 12:00:06
我又来了,2017-08-06 19:51:40
自报自己初高中的 没人关心你哪来的好吗？⬇️,2017-08-06 23:50:27
Taylor呀,2017-08-13 01:20:58
特征值就是矩阵的秩吗,2017-08-18 01:13:55
这个视频是真好,2017-08-20 14:35:49
是的是的有道理,2017-08-22 09:24:43
音乐好评,2017-08-23 18:19:45
泰勒展开？,2017-08-27 08:31:34
N维图形的体积,2017-09-01 11:24:11
宇神独家发布最爱的小狗,2017-09-01 20:16:02
恭喜你发现一部神作 ,2017-09-02 11:23:33
老师给的网站,2017-09-04 11:03:32
几何好数学渣的渣渣仿佛看到了希望的曙光,2017-09-06 22:38:23
计科的路过,2017-09-10 20:57:51
还来得及，大学考研用,2017-09-11 19:27:06
考研党看不懂直接推放弃考研,2017-09-11 19:30:19
宇哥的狗深入我心,2017-09-11 19:34:49
神作必頂,2017-09-25 12:54:25
泰勒展开。。,2017-09-29 19:28:42
有点鸡冻,2017-09-29 20:55:30
←看分P名，这个是序言。想看正题的去2P吧,2017-10-05 08:48:09
第一次决定一次看完两个多小时的数学课,2017-10-16 10:49:02
学到结构的振动，终于知道某些定义的用处了,2017-10-19 19:46:03
矩阵位移法舒服啊,2017-10-19 19:47:09
无处不在的数学！,2017-10-24 00:33:29
有25个朋友在看,2017-10-24 10:55:42
对对对！,2017-10-30 19:46:31
这个必须顶,2017-11-07 10:13:56
知乎观光团,2017-11-11 11:19:26
确实打开了新的天地,2017-11-16 09:05:59
我还以上了假大学,2017-11-16 09:07:27
我第一学期 94分，结果第二学期62分,2017-11-21 01:04:34
厉害啊,2017-11-25 15:47:57
线代 == 现die,2017-12-20 21:01:33
当你不能把抽象实现到具体上的时候 要怎么去理解抽象呢,2017-12-23 09:34:31
明天考线代的前来抱抱大腿,2017-12-26 14:30:01
二刷,2018-01-04 20:46:41
绿色矩阵对应的变换动画错了吧。,2018-01-05 14:10:09
就是就是,2018-01-11 01:18:18
下午考现代，凌晨刷,2018-01-11 01:18:45
完全不敢倍速听,2018-01-11 01:20:07
瑟瑟发抖,2018-01-11 01:21:24
是啊啊，要暂停想想学到了什么,2018-01-11 01:24:54
期待,2018-01-14 16:14:49
竟然有中文版！！！谢谢谢谢,2018-01-17 19:49:33
95路过，复习一遍,2018-01-25 20:34:10
就是因为有无穷个有理数求和，最后的和才可能是无理数。,2018-01-27 20:22:02
可以说是本人了,2018-02-06 12:45:38
文科生在这,2018-02-06 22:39:05
19人正在看。。。,2018-02-09 19:13:22
三刷,2018-02-16 09:58:07
北航线代78的渣渣飘过,2018-02-23 20:19:52
calc2的恶梦,2018-02-28 11:16:55
我现在就是。。。,2018-03-03 21:13:23
真的高中数学就是偏向计算,2018-03-17 14:38:46
九门功课同时补的哈哈哈哈哈哈哈哈,2018-03-17 20:30:50
其他16个小伙伴你们好,2018-03-21 10:33:49
承包左下小π,2018-03-26 13:10:56
矩阵快速幂2333,2018-03-26 13:11:09
图片这么多方格子,2018-04-16 11:51:08
看得人眼花,2018-04-16 11:51:19
宇哥的🐶笑死,2018-04-20 10:46:21
我居然在b站学线代！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！,2018-04-20 13:06:51
用大师的话讽刺，现在也适用。,2018-04-26 11:28:44
会计算不理解的工作后根本不会用。,2018-04-26 11:32:55
深圳国际交流学院学生前来报到,2018-05-01 20:19:05
那真是谢谢你了,2018-05-12 16:34:27
初中看这个视频的我可能真的是第一个了（然后什么都看不懂   瘫）,2018-05-17 19:06:50
算好了能过考试 没人管应用 所以很悲哀,2018-05-30 10:10:44
泰勒数级,2018-06-03 18:27:00
统计学学生前来报道,2018-06-18 09:00:27
希望能看到更多类似的视频,2018-06-18 09:13:43
没人表示一下左边的式子跟右边的图不是一回事儿吗？,2018-06-19 15:12:20
高三毕业生前来预科,2018-07-06 21:54:09
几何直观-》计算工作-》实际应用,2018-07-07 09:38:50
同时看字幕和理解视频内容，根本来不及,2018-07-15 17:01:26
张宇线代是9讲，前面大兄弟你可能要来年再战了。。,2018-07-25 15:37:29
不同意黄字+1,2018-07-25 15:38:28
从微积分过来的,2018-07-31 13:04:39
矢量差、,2018-08-01 11:29:02
泰勒级数,2018-08-01 11:28:15
坐标系的旋转不影响物理性质,2018-08-01 11:29:59
一不小心就被发现了九门功课一起补,2018-08-01 19:14:43
这个系列没有转秩矩阵？,2018-08-14 11:50:08
"我只会算,对行列式意义的理解不清楚",2018-08-14 21:22:41
14个,2018-08-14 22:44:14
忘了,2018-08-17 19:13:05
考研路过ヽ( ￣д￣;)ノ,2018-08-26 00:01:29
云大天文路过,2018-09-13 11:16:02
装逼全都吃屎,2018-09-26 14:46:23
我们的老师大概都是这样：你们懂了不？我认为你们懂了虽然我的直觉告诉我你们不懂,2018-09-28 09:27:49
放弃考研,2018-10-04 09:22:52
立即推,2018-10-04 09:22:36
前排提示二倍速！,2018-10-17 16:58:37
推荐一本书《Linear Algebra Done Right》，顺序基本和视频作者一样，不过内容深入许多，适合不满足于视频内容的同学自学,2018-10-18 21:13:19
顺手学英语,2018-10-26 15:03:00
哪个能按计算器来展开算。我们毕竟是人。普通人。心算鬼才bu suan q,2018-10-26 22:41:16
我感觉看完这个我可以秒现代,2018-10-26 22:42:23
老师，编译器是靠什么工作的？编译器是靠魔法工作的,2018-10-31 19:04:12
实际意义：解方程。,2018-11-01 09:34:39
2位公认的天才说自己算一题要计算机算3小时。冯诺依曼心算半小时就得到了解,2018-11-01 09:38:46
我看不懂了,2018-11-09 14:53:11
简单可刷哈哈哈哈,2018-11-10 20:46:27
我们高数没学泰勒定理 考研要努力了,2018-11-10 21:25:41
才把微积分泰勒展开看完就在这里看到这个,2018-11-11 11:38:14
泰勒,2018-11-17 19:32:45
永乐大帝万岁,2018-11-18 21:05:11
南航曹荣美老师力荐！！,2018-11-22 12:42:09
有美术,2018-11-24 18:09:04
我一个学画画的怎么也点进来了、,2018-11-24 18:09:35
有喵喵怪吗？？,2018-11-25 16:04:44
没有范数,2018-11-25 18:19:55
作为喜欢几何的代数菜鸟听了好欣慰,2018-11-25 21:44:03
妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙妙,2018-11-25 22:18:20
看了去重新学一篇代数，希望能如愿,2018-12-01 18:01:52
在B站重学数学，天哪！,2018-12-21 15:20:37
当年线性代数太抽象,2018-12-21 15:21:27
太真实啦，,2018-12-21 23:35:11
...,2018-12-27 23:35:10
妙啊,2018-12-30 13:15:31
考研党看不懂就完了,2019-01-01 20:46:38
为什么会更难而不是难度一样？,2019-01-04 14:36:57
我以为自己倍速播放了呢，语速好快,2019-01-05 21:49:43
前排预警：这一堆视频足以颠覆大部分人的三观,2019-01-08 21:52:02
从几何理解行列式真的是打开新世界的大门，以前全部白学了，笔记也白记了,2019-01-08 21:53:46
这一小段就已经诠释了矩阵乘法的意义了,2019-01-08 21:57:04
课堂上教的方法是给计算机用的，这里教的方法是给人用的,2019-01-08 22:00:18
看图形学的别走,2019-01-18 04:06:35
二刷,2019-01-18 20:00:14
诶，不是用牛顿迭代法的吗,2019-01-19 20:27:40
干....泰勒展开,2019-01-22 08:06:15
永乐大帝,2019-01-22 08:07:56
九门功课同时补哈哈哈哈哈哈哈,2019-01-22 08:11:03
太真实了,2019-01-25 23:09:06
不是泰勒展开，是泰勒级数,2019-01-29 16:48:21
当年的线代老师可能自己都没有几何直观。。。,2019-02-12 17:35:48
我现在仅有的一点都是做物理时肝出来的。。。,2019-02-12 17:36:08
泰勒,2019-02-14 21:04:31
合集出了！,2019-02-17 11:27:18
太真实了,2019-02-17 11:30:15
喵,2019-02-17 19:32:46
233,2019-03-01 20:48:58
真实,2019-03-05 19:46:36
谢啦,2019-03-05 19:51:49
形象了，教授讲的时候，我的脑子里想的是怎么算出来的,2019-03-10 01:42:24
是我本人了，一起做项目，教授直接猜出答案，我拿着matlab一定要算一下,2019-03-10 01:43:57
果然0.75倍才能跟上,2019-03-21 18:53:44
兴趣数学但很渣的过来学习,2019-03-28 15:22:33
初来乍到，支持支持,2019-03-31 17:55:57
王老师推荐我来的,2019-04-01 20:05:52
过于真实了,2019-04-02 19:23:18
我好像明白了,2019-04-03 16:49:52
好的再见（滑稽,2019-04-03 17:04:56
报分数的请把学校加上，不同学校的水平不一样的,2019-04-04 10:00:09
三刷,2019-04-05 13:16:54
我们线性代数老师给你教的就是小学两位数的加减乘除，跟屎一样,2019-04-05 17:38:41
太真实了,2019-04-10 07:31:14
秀啊,2019-04-10 23:13:44
满屏幕的泰勒公式，但却没有人知道牛顿插值法，可悲,2019-04-13 00:04:15
医学生表示前来补习,2019-04-13 16:42:07
太真实了,2019-04-14 13:12:38
0.5倍速食用更佳,2019-04-14 15:22:14
呜呜呜会几何直观不会计算……,2019-04-17 14:06:57
问题是3阶以上的无法直观只能类比推理啊,2019-04-17 14:08:06
慕名而来,2019-04-19 08:57:39
真实。。。,2019-04-24 21:43:34
我大一时学线代考得还行，但到大二项目用到时学到的线代让我觉得我高中大一白学了,2019-04-26 09:22:33
并不能说明，因为这只是一个例子,2019-04-26 09:32:25
泰勒展开,2019-04-27 15:02:12
泰勒展开,2019-05-06 20:47:42
呜呜呜说的太对了，老师只管讲，从来不解释原理是什么，学的时候十分痛苦呜呜呜,2019-05-12 16:09:38
为什么我一个医学生会看这个,2019-05-13 23:08:09
我终于过考试了,2019-05-14 00:49:55
再来亿遍,2019-05-14 20:44:22
另外28个大家好,2019-05-16 19:44:29
太感谢UP主翻译，后天考试赶紧多看看，考不好就完了。。,2019-05-21 08:12:37
青少年模式,2019-05-28 12:28:29
北理机械系，线代95,2019-06-07 13:40:57
我发现0.75倍速度播放刚好能听懂。。。,2019-06-08 20:21:52
有时间可以查一下MIT的线代公开课，讲得非常好,2019-06-10 11:51:40
"暴露年龄的问题,从逆序开始讲的课本吼不吼啊",2019-06-16 21:39:17
.75倍速中,2019-06-18 23:35:28
真的很厉害的呢，啾咪,2019-06-20 11:35:30
真的很厉害的呢，啾咪,2019-06-20 11:35:37
5556666,2019-06-20 11:36:08
66666,2019-06-20 11:37:01
恭喜您，发现了很厉害的东西呢，啾咪,2019-06-20 11:38:06
现在只用投2个币了？不，现在是24个,2019-06-22 17:07:29
翻译皮了,2019-06-22 17:16:24
哭了,2019-06-23 20:42:51
说的对啊哭了,2019-07-03 21:53:31
过于真实,2019-07-05 21:32:27
再来亿遍,2019-07-12 14:01:27
牛顿迭代法,2019-07-18 13:55:25
我有12个，另外12个好！我四年级,2019-07-20 11:26:14
数学专业学生路过,2019-07-21 19:59:43
还没上过课的,2019-07-22 19:36:55
高中党前来学习,2019-07-23 22:01:05
看了微积分来的,2019-07-25 18:50:01
暂停成功,2016-10-20 15:03:16
相当于齐次方程的系数阵线性相关，有非零解,2016-10-20 22:10:23
暂停成功,2016-10-20 22:10:27
注：斐波拉契数列的通项的计算方法,2016-10-21 00:12:43
==,2016-10-21 12:12:00
是的是的 查到的解释也很抽象,2016-10-21 15:03:41
大神,2016-10-22 00:12:16
看这东西，烧脑子,2016-10-22 17:05:09
和欧拉公式有关系吧,2016-10-22 22:10:00
我了个擦擦擦擦擦,2016-10-22 22:10:01
相似对角化,2016-10-22 23:11:29
这是斐波那契数列吧？,2016-10-22 23:11:33
这个真太狠了,2016-10-23 10:10:51
数学是有宗教背景的,2016-10-23 11:11:02
原来如此，可为什么课本上不这么讲,2016-10-23 11:11:07
同暂停,2016-10-23 11:11:29
这里连着对后头的理解，不容易想过去。,2016-10-23 14:02:14
这个建立了线性递推公式数列的递推式和通项之间的联系，666,2016-10-23 21:09:09
100次的话。。。也许用结合律会让噩梦稍微不恶一点,2016-10-24 08:08:48
